case,open_switches,radial,connected,converged,opendss_converged,electrically_solved,losses_kw,min_voltage_pu,vmin_pu,max_voltage_pu,vmax_pu,v_min_limit,v_max_limit,voltage_feasible,saidi_h_user_year,saifi_int_user_year,ens_mwh_year,objective_reliability,objective_reliability_name,topologically_feasible,max_loading_percent,loading_feasible,loading_check_available,all_loads_served,operationally_feasible,feasible,infeasibility_reasons,message,seed,population,generations,method
ieee33,"33,34,35,36,37",True,True,True,True,True,185.68063610324225,0.9159677286485081,0.9159677286485081,0.9983942382629303,0.9983942382629303,0.9,1.05,True,3.8460948465937497,10.511327812500001,14.4680767812,3.8460948465937497,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"6,8,10,26,30",True,True,True,True,True,175.34175740826203,0.8878682226297984,0.8878682226297984,0.9983729980480928,0.9983729980480928,0.9,1.05,False,3.4899594598124994,9.538014375000003,12.976826084100002,3.4899594598124994,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"6,10,14,24,32",True,True,True,True,True,166.75483597177308,0.9267784923029634,0.9267784923029634,0.9983781628553706,0.9983781628553706,0.9,1.05,True,3.6733724376562495,10.0392796875,13.458738338100002,3.6733724376562495,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"5,7,13,16,33",True,True,True,True,True,187.859941267855,0.9072703024559172,0.9072703024559172,0.998382987047243,0.998382987047243,0.9,1.05,True,3.548525185124999,9.698073750000002,13.196363888700002,3.548525185124999,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"5,7,14,19,21",True,True,True,True,True,328.0468054154738,0.8040377110311795,0.8040377110311795,0.9984482949352487,0.9984482949352487,0.9,1.05,False,4.757953893562498,13.003426875000004,18.095805137700005,4.757953893562498,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"9,14,20,36,37",True,True,True,True,True,200.93546895476425,0.9142161623368704,0.9142161623368704,0.998395209512266,0.998395209512266,0.9,1.05,True,3.7774892826562496,10.323829687500002,14.1227063325,3.7774892826562496,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"10,18,22,31,35",True,True,True,True,True,319.79276642465726,0.8817482369280074,0.8817482369280074,0.9984312185521123,0.9984312185521123,0.9,1.05,False,4.876758650624999,13.328118750000002,18.0422593317,4.876758650624999,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"3,11,26,33,37",True,True,True,True,True,360.49879612515247,0.7755226313511906,0.7755226313511906,0.9985315490960075,0.9985315490960075,0.9,1.05,False,4.952057440312499,13.533909375,18.366211457999995,4.952057440312499,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"4,14,18,30,33",True,True,True,True,True,371.5873743830263,0.799151220150549,0.799151220150549,0.998463567811437,0.998463567811437,0.9,1.05,False,5.60966687025,15.331147500000002,21.1532706603,5.60966687025,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,32346,100,100,evolutionary
ieee33,"5,11,19,21,25",True,True,True,True,True,345.8717098562032,0.7926910282129679,0.7926910282129679,0.9984574190331676,0.9984574190331676,0.9,1.05,False,4.884102606656249,13.348189687500005,18.497398682700002,4.884102606656249,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,32346,100,100,evolutionary
