case,run_id,seed,generation,unique_evaluations_cumulative,open_switches,losses_kw,saidi
ieee33,ieee33_seed_11235,11235,1,200,"7,10,13,16,28",145.64007596152805,3.0374230299374996
ieee33,ieee33_seed_11235,11235,1,200,"5,11,14,26,36",161.74797579730128,3.035191954687499
ieee33,ieee33_seed_11235,11235,2,297,"7,10,13,16,28",145.64007596152805,3.0374230299374996
ieee33,ieee33_seed_11235,11235,2,297,"5,11,14,26,36",161.74797579730128,3.035191954687499
ieee33,ieee33_seed_11235,11235,3,392,"7,10,13,16,28",145.64007596152805,3.0374230299374996
ieee33,ieee33_seed_11235,11235,3,392,"6,11,13,28,36",152.0836400180773,3.0091627434374995
ieee33,ieee33_seed_11235,11235,3,392,"6,9,17,34,37",144.21149816015676,3.4569581384062493
ieee33,ieee33_seed_11235,11235,4,485,"7,10,13,16,28",145.64007596152805,3.0374230299374996
ieee33,ieee33_seed_11235,11235,4,485,"6,9,17,34,37",144.21149816015676,3.4569581384062493
ieee33,ieee33_seed_11235,11235,4,485,"6,10,13,28,36",150.51551971100378,3.0055372461562495
ieee33,ieee33_seed_11235,11235,5,577,"6,9,17,34,37",144.21149816015676,3.4569581384062493
ieee33,ieee33_seed_11235,11235,5,577,"6,10,13,28,36",150.51551971100378,3.0055372461562495
ieee33,ieee33_seed_11235,11235,5,577,"7,9,13,16,28",144.85095602201602,3.043930332749999
ieee33,ieee33_seed_11235,11235,5,577,"7,11,14,17,27",145.04013294515588,3.0150193159687495
ieee33,ieee33_seed_11235,11235,6,667,"6,10,13,28,36",150.51551971100378,3.0055372461562495
ieee33,ieee33_seed_11235,11235,6,667,"7,11,14,17,27",145.04013294515588,3.0150193159687495
ieee33,ieee33_seed_11235,11235,6,667,"7,10,14,16,28",144.01055421524,3.0374230299374996
ieee33,ieee33_seed_11235,11235,6,667,"7,11,28,34,36",140.87706676304427,3.0729343109999996
ieee33,ieee33_seed_11235,11235,7,753,"6,10,13,28,36",150.51551971100378,3.0055372461562495
ieee33,ieee33_seed_11235,11235,7,753,"7,11,14,17,27",145.04013294515588,3.0150193159687495
ieee33,ieee33_seed_11235,11235,7,753,"7,10,14,16,28",144.01055421524,3.0374230299374996
ieee33,ieee33_seed_11235,11235,7,753,"7,11,28,34,36",140.87706676304427,3.0729343109999996
ieee33,ieee33_seed_11235,11235,8,836,"6,10,13,28,36",150.51551971100378,3.0055372461562495
ieee33,ieee33_seed_11235,11235,8,836,"7,11,14,17,27",145.04013294515588,3.0150193159687495
ieee33,ieee33_seed_11235,11235,8,836,"7,10,14,16,28",144.01055421524,3.0374230299374996
ieee33,ieee33_seed_11235,11235,8,836,"7,11,28,34,36",140.87706676304427,3.0729343109999996
ieee33,ieee33_seed_11235,11235,9,921,"6,10,13,28,36",150.51551971100378,3.0055372461562495
ieee33,ieee33_seed_11235,11235,9,921,"7,11,28,34,36",140.87706676304427,3.0729343109999996
ieee33,ieee33_seed_11235,11235,9,921,"7,11,13,28,36",143.5994934255891,3.0091627434374995
ieee33,ieee33_seed_11235,11235,10,1005,"7,11,28,34,36",140.87706676304427,3.0729343109999996
