case,open_switches,radial,connected,converged,opendss_converged,electrically_solved,losses_kw,min_voltage_pu,vmin_pu,max_voltage_pu,vmax_pu,v_min_limit,v_max_limit,voltage_feasible,saidi_h_user_year,saifi_int_user_year,ens_mwh_year,objective_reliability,objective_reliability_name,topologically_feasible,max_loading_percent,loading_feasible,loading_check_available,all_loads_served,operationally_feasible,feasible,infeasibility_reasons,message,seed,population,generations,method
ieee33,"33,34,35,36,37",True,True,True,True,True,185.68063610324225,0.9159677286485081,0.9159677286485081,0.9983942382629303,0.9983942382629303,0.9,1.05,True,3.8460948465937497,10.511327812500001,14.4680767812,3.8460948465937497,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"5,10,16,24,33",True,True,True,True,True,434.1711829350576,0.7332571005940407,0.7332571005940407,0.9985896521104631,0.9985896521104631,0.9,1.05,False,6.08888324165625,16.6408396875,22.2188321997,6.08888324165625,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"7,9,12,25,31",True,True,True,True,True,157.3374540154084,0.9124926380859741,0.9124926380859741,0.9983732691095751,0.9983732691095751,0.9,1.05,True,3.159016631062499,8.633551875000002,11.7720454491,3.159016631062499,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"12,16,18,22,35",True,True,True,True,True,323.8118314609113,0.8774076264523872,0.8774076264523872,0.9984377965033009,0.9984377965033009,0.9,1.05,False,4.838179641093749,13.222682812499999,17.937845009999997,4.838179641093749,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"13,20,21,24,31",True,True,True,True,True,236.37568606094416,0.8934284671356861,0.8934284671356861,0.9984075750240982,0.9984075750240982,0.9,1.05,False,4.16439491559375,11.3812378125,15.431901289199999,4.16439491559375,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"3,9,14,27,36",True,True,True,True,True,173.5051510404242,0.9293344574865033,0.9293344574865033,0.998363769603234,0.998363769603234,0.9,1.05,True,3.1799329615312497,8.690715937500002,11.916619125300002,3.1799329615312497,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"3,6,8,9,19",True,True,True,True,True,366.99297917331836,0.7736413764304202,0.7736413764304202,0.998466452159008,0.998466452159008,0.9,1.05,False,5.385629730562499,14.718856875000004,20.213541765000002,5.385629730562499,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"3,7,9,13,32",True,True,True,True,True,188.37206358197705,0.9092064631885931,0.9092064631885931,0.9983809527180992,0.9983809527180992,0.9,1.05,True,3.4498001053125003,9.428259375000001,12.869734472100003,3.4498001053125003,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"5,12,15,25,35",True,True,True,True,True,174.72287648958653,0.9102495568798233,0.9102495568798233,0.9983764046880139,0.9983764046880139,0.9,1.05,True,3.1386580694062496,8.5779121875,11.860396029000004,3.1386580694062496,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,22346,100,100,evolutionary
ieee33,"3,12,26,31,33",True,True,True,True,True,232.0163892375689,0.8697392598992584,0.8697392598992584,0.9983883951152325,0.9983883951152325,0.9,1.05,False,4.145709660374999,11.330171250000003,15.4452877407,4.145709660374999,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,22346,100,100,evolutionary
